Time:1,End Time,f001,Event Id,Event Date,Event Duration
200.2180,200.5180,2,,,
200.4850,200.7850,2,,,
200.7520,201.0520,2,,,
200.9850,201.2850,2,,,
201.2520,201.5520,1,,,
209.5260,209.8260,2,,,
209.8260,210.1260,1,,,
210.0590,210.3590,2,,,
210.2930,210.5930,2,,,
210.5600,210.8600,1,,,
210.8270,211.1270,1,,,
211.0600,211.3600,1,,,
211.3270,211.6270,1,,,
211.5610,211.8610,2,,,
211.8440,212.1440,2,,,
212.0940,212.3940,2,,,
212.3280,212.6280,2,,,
212.5950,212.8950,2,,,
212.8280,213.1280,2,,,
213.0620,213.3620,1,,,
213.3290,213.6290,2,,,
213.6120,213.9120,1,,,
213.8120,214.1120,2,,,
214.0960,214.3960,1,,,
214.3460,214.6460,2,,,
214.5960,214.8960,2,,,
214.8630,215.1630,1,,,
215.0970,215.3970,2,,,
215.3800,215.6800,2,,,
215.6310,215.9310,2,,,
215.8970,216.1970,1,,,
216.1310,216.4310,1,,,
216.3980,216.6980,1,,,
216.6310,216.9310,1,,,
216.9150,217.2150,1,,,
217.1650,217.4650,1,,,
217.4150,217.7150,2,,,
217.6660,217.9660,2,,,
217.9320,218.2320,1,,,
218.1660,218.4660,2,,,
218.4330,218.7330,1,,,
218.7000,219.0000,2,,,
218.9330,219.2330,2,,,
219.1830,219.4830,1,,,
219.4500,219.7500,2,,,
219.6840,219.9840,2,,,
219.9340,220.2340,2,,,
220.1680,220.4680,2,,,
220.4350,220.7350,2,,,
220.7010,221.0010,2,,,
220.9350,221.2350,2,,,
221.1690,221.4690,1,,,
221.4350,221.7350,1,,,
221.7020,222.0020,1,,,
221.9360,222.2360,2,,,
222.2030,222.5030,2,,,
222.4360,222.7360,2,,,
222.7030,223.0030,1,,,
222.9700,223.2700,2,,,
223.2030,223.5030,1,,,
223.4700,223.7700,1,,,
223.7540,224.0540,1,,,
223.9710,224.2710,1,,,
224.2040,224.5040,1,,,
224.4710,224.7710,2,,,
224.7050,225.0050,1,,,
224.9880,225.2880,1,,,
225.2050,225.5050,1,,,
225.4720,225.7720,2,,,
225.7390,226.0390,1,,,
225.9720,226.2720,2,,,
226.2060,226.5060,2,,,
226.4730,226.7730,1,,,
234.7960,235.0960,1,,,
235.0460,235.3460,2,,,
235.2800,235.5800,2,,,
235.5630,235.8630,2,,,
235.8140,236.1140,1,,,
236.0470,236.3470,1,,,
236.2810,236.5810,2,,,
236.5480,236.8480,2,,,
236.7810,237.0810,1,,,
237.0480,237.3480,2,,,
237.2810,237.5810,2,,,
237.5650,237.8650,1,,,
237.7820,238.0820,1,,,
238.0490,238.3490,1,,,
238.3160,238.6160,2,,,
238.5490,238.8490,2,,,
238.7830,239.0830,2,,,
239.0490,239.3490,1,,,
239.2830,239.5830,1,,,
239.5500,239.8500,1,,,
239.8170,240.1170,1,,,
240.0500,240.3500,2,,,
240.3170,240.6170,2,,,
240.5510,240.8510,2,,,
240.8340,241.1340,1,,,
241.0840,241.3840,1,,,
241.3350,241.6350,2,,,
241.5850,241.8850,1,,,
241.8520,242.1520,2,,,
242.0850,242.3850,2,,,
242.3520,242.6520,1,,,
242.6020,242.9020,2,,,
242.8530,243.1530,2,,,
243.1190,243.4190,1,,,
243.3530,243.6530,1,,,
243.6200,243.9200,2,,,
243.8530,244.1530,1,,,
244.1200,244.4200,2,,,
244.3870,244.6870,1,,,
244.6210,244.9210,2,,,
244.8880,245.1880,2,,,
245.1210,245.4210,2,,,
245.3550,245.6550,2,,,
245.6210,245.9210,2,,,
245.8550,246.1550,2,,,
246.1220,246.4220,2,,,
246.3890,246.6890,1,,,
246.6390,246.9390,1,,,
246.8890,247.1890,1,,,
247.1230,247.4230,2,,,
247.3900,247.6900,2,,,
247.6560,247.9560,1,,,
247.8900,248.1900,2,,,
248.1570,248.4570,2,,,
248.3900,248.6900,2,,,
248.6570,248.9570,2,,,
248.8910,249.1910,1,,,
249.1580,249.4580,1,,,
249.4250,249.7250,1,,,
249.6580,249.9580,1,,,
249.9250,250.2250,1,,,
250.1580,250.4580,2,,,
250.4260,250.7260,2,,,
250.6590,250.9590,1,,,
250.9260,251.2260,1,,,
251.1590,251.4590,1,,,
251.4260,251.7260,2,,,
251.6600,251.9600,1,,,
259.9660,260.2660,2,,,
260.2330,260.5330,1,,,
260.4830,260.7830,2,,,
260.7340,261.0340,2,,,
261.0010,261.3010,2,,,
261.2340,261.5340,1,,,
261.5010,261.8010,1,,,
261.7340,262.0340,1,,,
262.0010,262.3010,2,,,
262.2520,262.5520,2,,,
262.5020,262.8020,1,,,
262.7520,263.0520,2,,,
263.0350,263.3350,2,,,
263.2690,263.5690,1,,,
263.5360,263.8360,2,,,
263.7690,264.0690,1,,,
264.0360,264.3360,2,,,
264.3030,264.6030,1,,,
264.5370,264.8370,2,,,
264.8040,265.1040,1,,,
265.0370,265.3370,1,,,
265.3040,265.6040,2,,,
265.5370,265.8370,2,,,
265.7710,266.0710,1,,,
266.0380,266.3380,2,,,
266.3050,266.6050,1,,,
266.5550,266.8550,1,,,
266.7720,267.0720,2,,,
267.0550,267.3550,2,,,
267.2720,267.5720,2,,,
267.5720,267.8720,1,,,
267.8060,268.1060,1,,,
268.0400,268.3400,2,,,
268.3070,268.6070,1,,,
268.5570,268.8570,2,,,
268.8070,269.1070,1,,,
269.0740,269.3740,1,,,
269.3410,269.6410,1,,,
269.5740,269.8740,2,,,
269.8080,270.1080,2,,,
270.0740,270.3740,1,,,
270.3410,270.6410,2,,,
270.5750,270.8750,2,,,
270.8420,271.1420,2,,,
271.0920,271.3920,2,,,
271.3420,271.6420,1,,,
271.5760,271.8760,1,,,
271.8430,272.1430,1,,,
272.1090,272.4090,2,,,
272.3430,272.6430,2,,,
272.6100,272.9100,2,,,
272.8600,273.1600,1,,,
273.1270,273.4270,2,,,
273.3770,273.6770,2,,,
273.6110,273.9110,1,,,
273.8610,274.1610,1,,,
274.1110,274.4110,1,,,
274.3610,274.6610,1,,,
274.6110,274.9110,2,,,
274.8780,275.1780,1,,,
275.1120,275.4120,2,,,
275.3790,275.6790,1,,,
275.6120,275.9120,2,,,
275.8960,276.1960,1,,,
276.1460,276.4460,1,,,
276.3960,276.6960,2,,,
276.6130,276.9130,2,,,
276.8800,277.1800,2,,,
285.1870,285.4870,1,,,
285.4540,285.7540,2,,,
285.7200,286.0200,2,,,
285.9870,286.2870,1,,,
286.2540,286.5540,2,,,
286.4880,286.7880,1,,,
286.7550,287.0550,2,,,
287.0050,287.3050,1,,,
287.2220,287.5220,2,,,
287.4890,287.7890,2,,,
287.7220,288.0220,1,,,
287.9890,288.2890,1,,,
288.2560,288.5560,1,,,
288.4890,288.7890,2,,,
288.7560,289.0560,1,,,
288.9900,289.2900,1,,,
289.2570,289.5570,1,,,
289.5070,289.8070,2,,,
289.7570,290.0570,1,,,
289.9910,290.2910,2,,,
290.2570,290.5570,2,,,
290.4910,290.7910,2,,,
290.7750,291.0750,2,,,
291.0410,291.3410,2,,,
291.2580,291.5580,2,,,
291.5250,291.8250,1,,,
291.7920,292.0920,1,,,
292.0590,292.3590,2,,,
292.2920,292.5920,2,,,
292.5590,292.8590,1,,,
292.7930,293.0930,2,,,
293.0600,293.3600,1,,,
293.3270,293.6270,2,,,
293.5600,293.8600,1,,,
293.7940,294.0940,1,,,
294.0600,294.3600,1,,,
294.3440,294.6440,2,,,
294.5940,294.8940,1,,,
294.8610,295.1610,1,,,
295.0950,295.3950,2,,,
295.3280,295.6280,1,,,
295.5950,295.8950,2,,,
295.8450,296.1450,2,,,
296.1290,296.4290,1,,,
296.3620,296.6620,1,,,
296.5960,296.8960,2,,,
296.8630,297.1630,2,,,
297.1300,297.4300,2,,,
297.3970,297.6970,2,,,
297.6300,297.9300,2,,,
297.8640,298.1640,1,,,
298.1310,298.4310,1,,,
298.3970,298.6970,2,,,
298.6310,298.9310,2,,,
298.8650,299.1650,2,,,
299.1310,299.4310,2,,,
299.3980,299.6980,2,,,
299.6820,299.9820,1,,,
299.8990,300.1990,1,,,
300.1660,300.4660,2,,,
300.4320,300.7320,2,,,
300.6660,300.9660,2,,,
300.9330,301.2330,1,,,
301.1830,301.4830,1,,,
301.4160,301.7160,1,,,
301.6830,301.9830,1,,,
301.9000,302.2000,2,,,
302.1670,302.4670,1,,,
310.4740,310.7740,2,,,
310.7410,311.0410,2,,,
310.9910,311.2910,1,,,
311.2410,311.5410,1,,,
311.5080,311.8080,2,,,
311.7580,312.0580,1,,,
312.0080,312.3080,2,,,
312.2580,312.5580,2,,,
312.5090,312.8090,2,,,
312.7590,313.0590,1,,,
313.0090,313.3090,1,,,
313.2760,313.5760,2,,,
313.5100,313.8100,2,,,
313.7760,314.0760,2,,,
314.0100,314.3100,1,,,
314.2770,314.5770,2,,,
314.5100,314.8100,1,,,
314.7940,315.0940,2,,,
315.0110,315.3110,1,,,
315.2780,315.5780,2,,,
315.5110,315.8110,2,,,
315.7450,316.0450,1,,,
316.0280,316.3280,1,,,
316.2780,316.5780,2,,,
316.5450,316.8450,2,,,
316.7790,317.0790,1,,,
317.0620,317.3620,1,,,
317.2790,317.5790,1,,,
317.5630,317.8630,1,,,
317.8300,318.1300,1,,,
318.0470,318.3470,2,,,
318.3130,318.6130,2,,,
318.5800,318.8800,1,,,
318.8140,319.1140,2,,,
319.0810,319.3810,2,,,
319.3480,319.6480,2,,,
319.5810,319.8810,1,,,
319.8480,320.1480,1,,,
320.0810,320.3810,1,,,
320.3480,320.6480,2,,,
320.5820,320.8820,2,,,
320.8490,321.1490,1,,,
321.0820,321.3820,2,,,
321.3490,321.6490,2,,,
321.5830,321.8830,1,,,
321.8160,322.1160,1,,,
322.0830,322.3830,1,,,
322.3500,322.6500,2,,,
322.6000,322.9000,1,,,
322.8500,323.1500,1,,,
323.0840,323.3840,2,,,
323.3510,323.6510,2,,,
323.6180,323.9180,2,,,
323.8510,324.1510,2,,,
324.1350,324.4350,2,,,
324.3520,324.6520,1,,,
324.6180,324.9180,1,,,
324.8520,325.1520,1,,,
325.1190,325.4190,2,,,
325.3860,325.6860,2,,,
325.6530,325.9530,2,,,
325.8860,326.1860,1,,,
326.1200,326.4200,2,,,
326.3870,326.6870,1,,,
326.6530,326.9530,1,,,
326.9200,327.2200,2,,,
327.1540,327.4540,2,,,
327.3870,327.6870,1,,,
335.6940,335.9940,1,,,
336.0110,336.3110,2,,,
336.2280,336.5280,2,,,
336.4950,336.7950,1,,,
336.7280,337.0280,1,,,
336.9950,337.2950,2,,,
337.2290,337.5290,2,,,
337.4960,337.7960,1,,,
337.7620,338.0620,1,,,
338.0460,338.3460,1,,,
338.2630,338.5630,2,,,
338.5300,338.8300,2,,,
338.7630,339.0630,2,,,
339.0300,339.3300,1,,,
339.2640,339.5640,1,,,
339.5300,339.8300,1,,,
339.7810,340.0810,2,,,
340.0480,340.3480,2,,,
340.2980,340.5980,2,,,
340.5480,340.8480,1,,,
340.7980,341.0980,2,,,
341.0650,341.3650,1,,,
341.2990,341.5990,1,,,
341.5650,341.8650,2,,,
341.7990,342.0990,1,,,
342.0660,342.3660,2,,,
342.2990,342.5990,1,,,
342.5660,342.8660,1,,,
342.8000,343.1000,2,,,
343.0670,343.3670,1,,,
343.3170,343.6170,2,,,
343.5670,343.8670,2,,,
343.8340,344.1340,2,,,
344.1010,344.4010,2,,,
344.3340,344.6340,2,,,
344.6010,344.9010,1,,,
344.8680,345.1680,1,,,
345.1020,345.4020,2,,,
345.3690,345.6690,1,,,
345.6190,345.9190,1,,,
345.8690,346.1690,2,,,
